Sign,DOB,Name_of_person,place_of_birth,time_of_birth,latitude,longitude
leo,14-08-1979,Yogesh,Kullu,21:25,32.00186325,77.37899639741332
sagittarius,02-02-1952,Farida,Tarkarli,11:7,16.006814,73.4918404
taurus,01-10-1952,Kirti,Delhi,19:57,28.6273928,77.1716954
virgo,02-02-1994,Amit,Gopalpur,18:22,25.30946375,87.20787305955696
capricorn,23-10-1972,Vaibhav,Rishra ,6:17,22.7247059,88.3434353
gemini,23-10-1958,Aayod,Baraut ,16:25,29.1560645,77.30640323368971
libra,20-07-1978,Abhishek,Somnath,13:7,20.8907001,70.4025266
aquarius,30-10-1995,Charita,Ravangla,0:23,27.3051271,88.3644723
cancer,11-09-1971,Bharat,Gandhinagar ,22:30,23.2232877,72.6492267
scorpio,18-07-1991,Akanksha,Seoni ,10:23,22.2748109,79.72025222428486
pisces,18-05-1949,Kirandeep,Alipurduar,4:1,26.4851573,89.5246926
aries,02-11-1993,Dipta,Buxar ,14:58,25.5716195,83.9729568
leo,19-08-1981,Lata,Kasganj ,23:15,27.88422635,78.63387553623119
sagittarius,07-04-1991,Jamir,Tirunelveli,1:48,8.5495014,77.58051775636523
taurus,09-02-1992,Deependra,Vizianagaram,21:20,18.1139259,83.3979562
virgo,20-04-1980,Abeer,Burari ,7:2,11.469906,13.757859
capricorn,19-06-1986,Divyaraj,Damoh ,4:34,23.75,79.583333
gemini,28-11-1997,Gita,Kadapa,12:17,14.4752936,78.8216861
libra,28-06-1954,Divyam,Khanna ,11:49,31.0782705,75.1318503
aquarius,25-01-1999,Damini,Azamgarh ,6:57,26.023639000000003,83.02931045602446
cancer,18-03-1961,Bhavika,Ahmadnagar ,23:52,19.074352,74.7219979
scorpio,20-04-1992,Fatima,Thanjavur,5:21,10.65903695,79.20142776213416
pisces,09-03-1974,Anshuman,Bhiwani,11:50,28.7931703,76.1391283
aries,02-10-1987,Ibrahim,Durgapur ,15:0,23.5350475,87.3380425
leo,05-04-1986,Anuraktika,Rae Bareli ,18:7,26.25,81.25
sagittarius,18-02-1981,Aayush,Orchha,12:52,25.3528706,78.6402465
taurus,17-12-1962,Anjaneya,Ayodhya,6:12,26.6382763,82.05850340767219
virgo,20-05-1985,Aarya,Bidar ,7:35,18.02315245,77.249718672587
capricorn,05-03-1942,Ilakkiyan,Bhind ,4:12,26.5,78.75
gemini,19-06-1964,Ekta,Ranikhet,20:22,29.632300700000002,79.4154141676432
libra,02-05-1981,Madhusudan,Vrindavan,3:57,27.5753726,77.6938045
aquarius,19-03-1997,Dhaval,Tonk,23:21,26.122266000000003,75.82386305157223
cancer,08-06-1999,Anubhuti,Narkanda,18:45,31.2547508,77.4612694
scorpio,28-10-1986,Prasad,Bhopal ,7:13,23.2584857,77.401989
pisces,27-08-1983,Aswad,Bir Billing,22:41,32.0563633,76.7318737
aries,02-07-1976,Tina,Mahabubnagar,15:11,16.696568550000002,77.95911462089693
leo,29-04-1952,Kaiyen,Varanasi ,0:25,25.3356491,83.0076292
sagittarius,16-01-1995,Elili,Sangli Miraj Kupwad ,4:15,16.8502534,74.5948885
taurus,23-09-1952,Janaki,Shamli ,5:26,29.4976372,77.34722114724295
virgo,01-06-1979,Chathresh,Rewa ,5:18,24.75608455,81.38105738502682
capricorn,20-10-1956,Abdur,Chhattarpur ,20:39,23.27963995,80.03898433785184
gemini,15-01-1943,Abrar,Tenali ,17:17,16.2377735,80.6464219
libra,01-06-1994,Mohan,Shoja,16:52,38.9004221,45.6434003
aquarius,18-02-1946,Ahinsa,Vadodara,8:34,22.2973142,73.1942567
cancer,26-05-1991,Aadidev,Amravati ,10:38,21.15454115,77.64429617998744
scorpio,21-01-1949,Jahanvi,Coorg,20:6,12.9363343,77.6151183
pisces,05-04-2001,Bibhu,Hampi,7:21,15.3358,76.4610201
aries,01-02-1943,Mridula,Kumbakonam,15:12,10.9604108,79.3820861
leo,07-02-1960,Chander,Chidambaram,2:26,11.3994826,79.6909383
sagittarius,19-08-1991,Fatahun,Port Blair ,18:29,11.6645348,92.7390448
taurus,10-06-2001,Arpita,Chitradurga ,6:11,14.3049174,76.52972341987515
virgo,28-03-1950,Mohini,Khurja ,10:37,28.206280749999998,77.87643676127676
capricorn,11-06-1959,Kavyansh,Mussoorie,0:54,30.4569012,78.0782906
gemini,10-07-1992,Ilamaran,Vizianagaram,4:11,18.1139259,83.3979562
libra,11-03-1943,Shalini,Gandhidham ,16:34,23.0718743,70.131715
aquarius,26-10-1949,Anubhav,Puri ,10:48,19.8076083,85.8252538
cancer,16-06-1990,Vijaya,Gonda ,21:19,27.1103723,81.92389055909715
scorpio,25-03-1947,Aastha,Puttaparthi,22:9,14.1636778,77.8124982
pisces,29-03-1987,Faizan,Hoshangabad ,2:34,22.7529598,77.7173261
aries,11-12-1946,Aatreya,Habra ,16:9,22.8400629,88.6630678
leo,16-07-1944,Humaid,Mandya ,1:44,12.5238888,76.8961961
sagittarius,19-11-1976,Inderpal,Machilipatnam ,18:6,16.1817369,81.1348181
taurus,24-05-2001,Eiravati,Rohtak,13:44,28.9010899,76.5801935
virgo,14-06-2000,Aritra,Brahmapur,14:2,19.3098134,84.7971562
capricorn,21-06-1974,Kavisha,Asansol ,23:56,23.6871297,86.9746587
gemini,03-01-1979,Ekta,Madurai,18:5,9.9261153,78.1140983
libra,13-01-1950,Avnindra,Kirari Suleman Nagar ,21:48,28.7026993,77.047004
aquarius,29-04-1978,Jigruksha,Gandhinagar,6:27,23.2232877,72.6492267
cancer,29-08-1959,Ekanpreet,Bangalore,3:15,12.98815675,77.62260003796
scorpio,09-03-1947,Inabat,Adityapur ,6:42,22.792542349999998,86.08551847167897
pisces,27-08-1956,Konkana,Bilaspur,23:30,30.3612115,77.3229651442197
aries,16-09-1977,Harsha,Kozhikode ,14:23,11.2450558,75.7754716
leo,09-01-1973,Hajira,Belgaum ,13:5,15.8572666,74.5069343
sagittarius,22-06-1942,Atif,Aligarh ,14:38,27.8761073,78.13581531245276
taurus,15-08-1996,Devadarshini,Shillong ,2:25,25.5760446,91.8825282
virgo,25-08-1983,Kavya,Aligarh,3:23,27.8761073,78.13581531245276
capricorn,14-03-1988,Deepak,Gangtok,12:27,27.329046,88.6122673
gemini,19-06-1947,Aashvi,Baripada Town ,6:50,21.9335055,86.76662036411545
libra,09-11-1959,Jigisu,Gurgaon ,10:8,28.4646148,77.0299194
aquarius,31-10-1958,Hemavarun,Kolkata ,20:5,22.5726459,88.3638953
cancer,19-05-1968,Iravaj,Chapra ,23:18,25.773344299999998,84.78497716754097
scorpio,11-03-1961,Ilavalagi,Junagadh,21:5,21.5174104,70.4642754
pisces,17-04-1955,Eashan,Bhopal ,22:28,23.2584857,77.401989
aries,25-11-1965,Apurva,Jodhpur,1:29,26.2967719,73.0351433
leo,08-08-1964,Ankita,Ongole,16:8,15.5058714,80.0499454
sagittarius,30-08-1969,Sonal,Alappuzha,10:41,9.5006651,76.41241428564258
taurus,18-01-1986,Debashish,Gulbarga ,0:40,17.166667,77.083333
virgo,08-04-1958,Gyanvi,Panchkula ,6:38,30.6975401,76.8551066
capricorn,22-07-1944,Meena,Uluberia ,15:16,22.4700318,88.1011108
gemini,28-07-1967,Aanya,Motihari ,20:32,26.66951195,84.95741062485514
libra,04-07-1972,Jaskeerat,Meerut,1:51,29.0018557,77.76796714992041
aquarius,09-04-1954,Hanshitha,Agra ,0:12,27.1752554,78.0098161
cancer,06-06-1953,Kishan,Puruliya ,1:39,23.333333,86.416667
scorpio,27-03-1956,Kaivalya,Brahmapur Town ,17:20,,
pisces,29-11-1994,Lopa,Ranchi,21:30,23.3700501,85.3250387
aries,14-10-1952,Gaurika,Belgaum,4:43,15.8572666,74.5069343
leo,15-01-1952,Abhilash,Barot,19:41,32.0377277,76.8452055
sagittarius,14-11-1943,Kanta,Bharuch ,12:13,21.82728385,72.89284864362733
taurus,04-11-1952,Ekantika,Nagaur ,5:49,26.9873443,73.73890107316704
virgo,25-09-1946,Jitendra,Hazaribag ,17:6,23.9924352,85.3616252
capricorn,12-04-1972,Goldy,Ghaziabad,19:36,28.7678881,77.46066723508514
gemini,09-02-1975,Hridyanshu,Kaziranga,8:53,26.65810465,93.39274406257059
libra,13-07-1942,Farhan,Mirzapur-cum-Vindhyachal ,0:43,,
aquarius,24-09-1955,Grover,Aizawl ,4:14,23.7433532,92.7382756
cancer,17-10-2000,Afzan,Bhadravati ,8:25,13.8502075,75.7037863
scorpio,23-07-1946,Ayush,Keonjhar,4:8,21.5,85.5
pisces,07-04-1973,Anil,Mandu,12:26,23.7978518,85.5263324593129
aries,29-05-1956,Digraj,Amreli ,22:29,21.4176122,71.24960898982046
leo,14-05-1986,Aarna,Kamarhati ,12:19,22.6810246,88.3715343
sagittarius,06-09-1998,Amrutha,Etawah ,16:58,26.715562900000002,79.09170983360895
taurus,31-10-1986,Anadi,Diu,18:57,20.718174949999998,70.93238341010638
virgo,20-07-1957,Jagrati,Gwalior,0:58,26.2037247,78.1573628
capricorn,24-06-1954,Aaryan,Ambattur ,15:40,13.1193746,80.1507648
gemini,31-05-1997,Kiran,Dibrugarh ,13:21,27.4844597,94.9019447
libra,03-01-1958,Gnanavalli,Hajo,14:18,26.23597655,91.54234804390661
aquarius,03-02-1964,Abhishek,DehraDun,2:8,30.3255646,78.0436813
cancer,27-11-1991,Isha,Karaikkudi ,13:6,10.04451205,78.7433633227108
scorpio,04-11-1963,Ambar,Delhi Cantonment ,11:21,28.5888565,77.132399
pisces,01-03-1990,Kshamya,Bareilly,6:23,28.45823445,79.40474517998476
aries,18-09-1969,Bhavi,Mandi,17:57,31.7084496,76.9293782
leo,27-01-1977,Babitarani,North Barrackpur ,11:14,22.8907698,88.4355787
sagittarius,20-09-1968,Darvesh,Sarnath,7:51,25.3776274,83.0275999
taurus,25-07-1989,Amarpreet,Pahalgam,17:32,34.01448585,75.32851642391816
virgo,16-05-1981,Himaksh,Muzaffarpur ,18:53,26.1482548,85.3316096785584
capricorn,03-08-1954,Bhavya,Guwahati,15:23,26.1805978,91.753943
gemini,26-01-1956,Lekhraj,Bellary,6:53,15.1433952,76.9193876
libra,14-05-1987,Jaiden,Delhi,17:6,28.6273928,77.1716954
aquarius,22-03-1943,Anoop,Vellore ,16:40,12.9021849,79.06110398623842
cancer,25-07-1975,Sharad,Miryalaguda ,0:59,16.8710119,79.5617353
scorpio,19-05-1981,Ashutosh,Pimpri Chinchwad ,18:11,18.6279288,73.8009829
pisces,30-08-1965,Junaid,Shimoga,6:23,13.9326093,75.574978
aries,21-08-2000,Divit,Chas ,0:52,45.7489353,3.3018243
leo,26-04-1992,Arunima,Jammu,19:44,32.7185614,74.8580917
sagittarius,19-11-1966,Chandana,Faridabad,18:6,28.4031478,77.3105561
taurus,06-07-1967,Jauhari,Kurnool ,19:55,15.8309251,78.0425373
virgo,03-02-2000,Chandni,Jhansi,20:52,25.529855,78.65278023546288
capricorn,25-05-1946,Jhalak,Bally City,3:10,22.6469581,88.343612
gemini,04-10-1953,Samir,Amritsar,3:8,31.6343083,74.8736788
libra,07-09-1942,Akshaya,Hindupur ,12:37,13.8306127,77.492635
aquarius,31-01-1959,Bhavesh,Kakinada ,7:42,16.9437385,82.2350607
cancer,09-08-1942,Harshada,Alibaug,9:53,18.6627281,72.8787677
scorpio,16-10-1977,Aahan,Bokaro Steel City ,19:11,23.6579595,86.0839161
pisces,05-06-1995,Durba,Dibrugarh,16:46,27.4844597,94.9019447
aries,14-08-1991,GopalDas,Khammam,0:58,17.172918850000002,80.40575365751027
leo,14-10-1974,Gurjot,Guwahati ,16:17,26.1805978,91.753943
sagittarius,20-10-1999,Kanan,Purulia,13:49,23.2020967,86.32289877475208
taurus,12-03-1988,Ekanta,Jagdalpur ,4:3,19.0870758,82.0235715
virgo,28-10-1998,Hussain,Deoria ,17:56,26.423991100000002,83.7638577758042
capricorn,17-06-2001,Karthik,Rudrapur ,5:17,28.9707183,79.3972845
gemini,24-05-1963,Kishen,Jamnagar ,17:14,22.4732415,70.0552102
libra,23-01-1992,Kenisha,Puducherry,19:43,10.91564885,79.80694879844232
aquarius,11-02-1992,Kanayali,Cuttack,10:43,20.4686,85.8792
cancer,27-07-1993,Bodhi,Hinganghat ,8:39,20.475194950000002,78.74239647465441
scorpio,08-12-1958,Jeet,Jamshedpur,19:42,22.8015194,86.2029579
pisces,04-09-2000,Kushan,Brajrajnagar,9:17,21.8498594,83.9254698
aries,27-06-1948,Khaleel,Jorhat,17:36,26.7577925,94.2079645
leo,14-05-1967,Advaith,New Delhi,19:12,28.6138954,77.2090057
sagittarius,13-05-1945,Hiral,Badami,8:5,15.9203874,75.6807865
taurus,28-11-1975,Jivika,Nanded,20:39,19.09400875,77.48319215130235
virgo,15-02-1986,Dulal,Puri,0:34,19.8076083,85.8252538
capricorn,19-03-1998,Vijay,Baran ,11:31,24.92081645,76.6821984669639
gemini,24-01-1952,Faraz,Faizabad ,12:26,39.6003856,77.2571513
libra,07-10-1949,Hitesh,Chanda,17:0,24.88603315,87.78276049818581
aquarius,28-12-1961,Chaitanya,Puducherry,1:58,10.91564885,79.80694879844232
cancer,28-05-1994,Adhrit,Yavatmal ,17:48,20.3270469,78.1186870440679
scorpio,09-07-2001,Abhaya,Nandyal ,7:50,15.4736293,78.4806592
pisces,06-07-1957,Aditi,Panipat ,22:57,29.3912753,76.9771675
aries,09-05-1966,Aarav,Chennai,3:36,13.0836939,80.270186
leo,11-11-1946,Devi,Ambala ,9:42,30.3843674,76.770421
sagittarius,07-08-1969,Libni,Mango ,13:21,44.686443,8.150239
taurus,04-05-2001,Sanjay,Jabalpur,1:27,23.1608938,79.9497702
virgo,31-01-1977,Chameli,Mirzapur,20:49,24.9316896,82.62801628419575
capricorn,04-03-1946,Anita,Thoothukkudi ,0:3,8.756745200000001,78.07975266019861
gemini,09-09-1997,Gunasundari,Cuttack,8:37,20.4686,85.8792
libra,06-11-1975,Arnab,Leh,20:22,34.1642029,77.5848133
aquarius,21-10-1984,Ayushman,Mahesana ,0:1,23.6015557,72.3867981
cancer,23-08-1966,Ijaya,Bijapur,19:58,16.8269911,75.7175387
scorpio,11-09-1990,Chandranshu,Nellore,6:13,14.4493717,79.9873763
pisces,09-10-1991,Tanuja,Secunderabad ,21:53,17.4337246,78.5006827
aries,06-08-1972,Anil,Jalpaiguri,7:21,26.62628045,88.73344851670664
leo,07-01-1944,Abhaysinha,Baleshwar Town ,20:8,21.5017098,86.9216712
sagittarius,10-03-1979,Aruna,Sirsa,18:22,29.583333,75.083333
taurus,13-03-1980,Jeevan,Nagaon ,9:12,26.3313646,92.75247628339588
virgo,10-05-1993,Hemani,Kochi,21:59,9.9674277,76.2454436
capricorn,25-07-1943,Avani,Sawai Madhopur,13:37,26.1137182,76.4240637330536
gemini,02-03-1952,Jalender,Nadiad ,19:32,22.6895535,72.8713603
libra,03-09-1965,Sandhya,Navsari ,17:7,20.952407,72.9323831
aquarius,23-05-1959,Krithika,Morena ,14:36,26.166667,77.5
cancer,24-01-1946,Laiba,Tiruchchirappalli,17:31,10.8067917,78.7039861
scorpio,05-12-1996,Atul,Champdani ,22:18,,
pisces,01-09-1942,Chitra,Deoli ,4:10,20.631117500000002,78.39717127244442
aries,11-08-1970,Bhaskor,Kovalam,12:4,8.3902593,76.9785152
leo,06-02-1948,Arti,Guntur,9:30,16.2915189,80.4541588
sagittarius,20-01-1996,Harpal,Bhilai,9:25,21.2120677,81.3732849
taurus,18-09-1962,Aria,Naihati ,21:54,22.8886213,88.4239345
virgo,28-09-1970,Lubna,Veraval ,12:44,20.9101099,70.365279
capricorn,30-12-1946,Chayan,Nagapattinam ,10:17,10.60262025,79.7619347994777
gemini,09-02-1992,Bhawana,Pali ,10:57,25.45522105,73.4193889559074
libra,22-09-1998,Arnav,Balasore,2:35,21.5006421,86.919884
aquarius,20-03-1999,Anjoo,Guntur,0:4,16.2915189,80.4541588
cancer,10-11-1982,Kalindee,Churu ,6:17,28.20477805,74.69129960764752
scorpio,23-01-2000,Jigar,Udaipur,21:46,24.578721,73.6862571
pisces,13-11-1964,Bhama,Udhampur,12:46,33.0,75.166667
aries,15-10-1960,Bhavana,Kolar,12:2,13.18050655,78.26693288646007
leo,19-07-1989,Guru,Bikaner,11:55,28.0159286,73.3171367
sagittarius,17-04-1995,Ashay,Gokal Pur ,11:15,32.3616465,75.1093651
taurus,10-06-1963,Reena,Thanjavur ,3:13,10.65903695,79.20142776213416
virgo,22-10-2000,Vineet,Agartala,8:33,23.8312377,91.2823821
capricorn,30-03-1995,Achyut,Allahabad,5:21,25.4381302,81.8338005
gemini,08-06-1998,Ardhendu,Karimnagar ,3:47,18.4348122,79.1328042
libra,21-12-1981,Bishakha,Pelling,16:47,27.3003722,88.2356503
aquarius,23-06-1978,Dhariyithri,Imphal,13:33,24.7991162,93.9364419
cancer,11-08-1968,Rajani,Kishangarh ,23:53,26.5885585,74.861097
scorpio,31-12-1969,Kamal,Jalna ,1:27,19.918832950000002,75.87085986165867
pisces,25-05-1999,Inika,Jhunjhunun ,16:38,28.0,75.5
aries,11-07-1961,Deepika,Hardoi ,23:54,27.336997750000002,80.09982319183257
leo,07-11-1977,Roopa,Jamuria ,17:35,23.7102112,87.077021
sagittarius,04-12-1949,Brinda,Bhubaneswar Town ,17:14,20.14804505,85.67642097423138
taurus,11-10-1948,Hiba,Unnao ,1:49,26.5673264,80.61981926788883
virgo,21-01-1946,Arup,Chikmagalur,23:53,13.318014,75.7738743
capricorn,16-11-1943,Haaris,Sonipat ,4:10,28.9953758,77.0233627
gemini,29-02-1976,Datarpreet,Madurai,9:21,9.9261153,78.1140983
libra,07-03-1957,Charu,Mira Bhayander ,20:3,19.2970316,72.858686
aquarius,06-06-1965,Azha,Rajahmundry,0:28,17.0050454,81.7804732
cancer,24-10-1986,Rajat,Jaipur,21:21,26.9154576,75.8189817
scorpio,27-10-1959,Meera,Bhimavaram ,22:40,16.5427689,81.527344
pisces,19-07-1951,Dinesh,Mangalore,6:52,12.8698101,74.8430082
aries,02-08-1999,Diksha,Tirupati ,20:28,13.6316368,79.4231711
leo,17-12-1975,Jahan,Tumkur ,15:32,13.3400771,77.1006208
sagittarius,05-06-1943,Kajol,Bhiwani ,14:53,28.7931703,76.1391283
taurus,28-10-1993,Arun,Hardwar ,9:30,29.9384473,78.1452985
virgo,16-10-1960,Kaberi,Baranagar ,15:58,22.6493438,88.3685302
capricorn,25-11-1966,Anshu,Ghandinagar,22:26,18.3217294,79.8283858
gemini,16-03-1984,Pooja,Ghazipur ,2:21,25.60348625,83.50758884009142
libra,16-12-1967,Sunil,Alwar,8:9,27.414004849999998,76.61703869600933
aquarius,19-12-1978,Aakshi,Amritsar,17:51,31.6343083,74.8736788
cancer,11-11-1984,Heena,Madavaram ,22:46,13.6968985,78.760684
scorpio,30-09-1989,Ayan,Akola ,13:13,20.76181225,77.1921156663574
pisces,28-01-1991,Abhay,Srinagar ,20:44,34.0747444,74.8204443
aries,02-04-1957,Hemant,Patna,10:56,25.6093239,85.1235252
leo,20-03-1961,Baghyawati,Asansol,23:7,23.6871297,86.9746587
sagittarius,04-09-1973,Latifah,Bekal,22:18,12.395725,75.0371916
taurus,07-12-1995,Henish,Thiruvananthapuram ,13:47,8.4882267,76.947551
virgo,17-07-1967,Indu,Raipur,0:34,21.2380912,81.6336993
capricorn,17-11-1941,GangaRam,Baidyabati ,0:55,22.7949104,88.3317725
gemini,18-09-1987,Kalpi,Thrissur ,8:44,10.5270099,76.214621
libra,18-05-1943,Daiwik,North Dum Dum ,23:40,22.6520597,88.4360417
aquarius,09-09-1957,Karali,Jodhpur ,12:6,26.2967719,73.0351433
cancer,07-11-1950,Aakanksha,Dzükou Valley,4:23,25.5514981,94.1215991
scorpio,12-09-1949,Jalil,Osmanabad ,8:11,18.28224535,76.05881660170444
pisces,11-04-1977,Ajaipal,Raichur ,21:5,16.054719400000003,76.90036472411589
aries,13-09-1975,Shubham,Bhagalpur ,1:47,25.286135350000002,87.13042293057262
leo,28-03-2001,Himanshu,Tirunelveli ,14:43,8.5495014,77.58051775636523
sagittarius,29-06-1995,Garuda,Nalgonda ,23:48,16.8579636,79.21749353315548
taurus,09-08-1950,Aakesh,Dindigul ,6:34,10.425689649999999,77.815663999998
virgo,25-06-1996,Hansika,Tiruchirappalli ,8:6,10.804973,78.6870296
capricorn,22-06-1943,Jagvi,Kodaikanal,10:21,10.233712,77.4919719
gemini,16-01-1987,Sunita,Ichalkaranji ,12:44,16.6959348,74.4555755
libra,02-02-1950,Kasniya,Berhampur,2:48,21.49308515,86.63272982626935
aquarius,15-05-1993,Gunbir,Ulhasnagar ,18:56,19.2236329,73.1671515
cancer,08-11-1964,Chinmay,Nangloi Jat ,9:34,,
scorpio,31-12-1945,Harsha,Kolar ,9:41,13.18050655,78.26693288646007
pisces,04-07-1960,Chandra,Lucknow,14:46,26.8381,80.9346001
aries,14-04-1960,Antara,Ambala,15:44,30.3843674,76.770421
leo,04-07-1976,Haniya,Hassan ,20:8,13.030185249999999,76.17449676658171
sagittarius,14-11-1994,Anchal,Almora,2:4,29.70265095,79.43263182057746
taurus,07-01-1973,Ananya,Warangal,2:15,17.9820644,79.5970954
virgo,05-05-1979,Husain,Vishakhapatnam,20:26,,
capricorn,22-07-1974,Deepshikha,Etah ,9:9,27.5550357,78.59922214449577
gemini,08-01-1966,Eshwaritha,Noida,11:58,28.5706333,77.3272147
libra,24-11-1981,Devika,Pune,13:58,18.5213738,73.8545071
aquarius,25-02-1984,Farah,Chilika,22:5,19.6853207,85.25036968762618
cancer,21-01-1979,Gathika,Tezpur,13:29,26.6229928,92.7976082
scorpio,30-03-1978,Divya,Siwan ,21:35,26.131008,84.39107448141786
pisces,09-01-1942,Anirudh,New Delhi,8:55,28.6138954,77.2090057
aries,12-04-1967,Divyanshika,Pallavaram ,21:55,12.989815700000001,80.10098654184341
leo,17-05-1977,Goswami,Moga ,18:16,30.7877554,75.15935898836224
sagittarius,24-02-1987,Amrit,Dwarka,19:57,22.2471009,68.9742446
taurus,16-05-1958,Debyendu,Moradabad ,1:22,28.879655300000003,78.80953353954959
virgo,20-10-1949,Ishanvi,Varkala,22:35,8.7342288,76.7257086
capricorn,27-06-1998,Akshay,Amroha ,21:56,28.90662,78.4707309
gemini,30-03-1987,Joy,Bidar,18:2,18.02315245,77.249718672587
libra,11-08-1971,Devbrat,Itanagar,7:43,27.0979659,93.6237291
aquarius,26-09-1956,Dolly,Krishnanagar ,7:13,23.4058481,88.4958935
cancer,28-10-1946,Jayanti,Dewas ,16:40,23.0,76.166667
scorpio,05-05-1972,Barkha,Haldwani-cum-Kathgodam ,21:14,,
pisces,23-03-1998,Inderveer,Jalandhar ,1:15,31.29223115,75.56788777097373
aries,11-10-1980,Devashish,Jaunpur ,8:33,25.7967065,82.4888992436659
leo,31-03-1960,Bhuvan,Chandigarh ,20:36,30.7334421,76.7797143
sagittarius,29-12-1953,Vinod,Greater Mumbai ,11:36,19.1074889,72.8718705
taurus,13-05-1975,Lipika,Hisar,19:39,29.080640950000003,75.788754109493
virgo,09-08-1962,Siddharth,Ujjain,10:49,23.1885131,75.7716562
capricorn,01-08-1953,Seema,Sambalpur,6:3,21.4,83.883333
gemini,06-08-1994,Namita,Mainpuri ,12:58,27.20930715,79.06253691568566
libra,30-01-1958,Loshith,Hospet ,17:53,15.266493,76.3872297
aquarius,18-11-1941,Adweta,Raigarh ,11:29,22.5,83.5
cancer,16-12-1963,Kripa,Chittaurgarh ,2:24,24.5,74.5
scorpio,07-04-1992,Herik,Rajpur Sonarpur ,9:28,22.4408748,88.4246368
pisces,20-10-1977,Suraj,Barshi ,3:17,18.2341108,75.6875109
aries,07-02-1996,Kshitij,Bhubaneswar,6:40,20.2602964,85.8394521
leo,24-08-1971,Aishwarya,Konark,17:48,19.90742915,86.14201945385827
sagittarius,14-03-2001,Angad,Udgir ,8:18,18.3921349,77.1196118
taurus,20-04-1998,Swati,Serampore ,0:40,22.7549951,88.3416672
virgo,24-09-1979,Ayla,Kanpur City,19:0,26.4551032,80.3512287
capricorn,14-02-1999,Ajay,Nalgonda,8:41,16.8579636,79.21749353315548
gemini,03-04-1951,Keerat,Badlapur ,4:12,25.8951364,82.43987209006801
libra,10-04-1959,Ishpreet,Kollam,15:43,8.8879509,76.5955013
aquarius,08-10-1956,Ashish,Majuli,4:2,27.021952849999998,94.32742302965544
cancer,11-04-1995,Anitha,Srinagar,5:27,34.0747444,74.8204443
scorpio,07-09-1956,Kausar,Orai ,6:14,25.9359555,79.42432768008604
pisces,26-09-2000,Nalini,Gorakhpur ,17:59,26.6677977,83.364233378331
aries,14-11-1943,Anya,Cooch Behar,4:26,26.3223696,89.4592445
leo,25-06-1947,Kaushiki,Tadepalligudem ,9:59,16.8102437,81.526592
sagittarius,28-05-1976,Arti,Port Blair,20:53,11.6645348,92.7390448
taurus,16-06-1991,Purnima,Greater Hyderabad ,6:3,17.4818815,78.36778528548837
virgo,15-10-1982,Kulveer,Firozabad,4:57,27.178397150000002,78.38936471833091
capricorn,10-03-1950,Devirupa,Hapur,2:13,28.739459150000002,77.83517038273197
gemini,01-01-1964,Kalindi,Sonipat,22:0,28.9953758,77.0233627
libra,16-01-1948,Debanjana,Kanpur,22:12,26.4609135,80.3217588
aquarius,25-03-1957,Love,Guwahati,8:40,26.1805978,91.753943
cancer,24-03-1961,Aditya,Deoghar,13:13,24.4766423,86.60673245386945
scorpio,10-04-2001,Chavvi,Alandur ,19:7,13.0042558,80.2014525
pisces,01-11-1989,Chandran,Bhilwara,12:19,25.48911765,74.33007256947698
aries,17-03-1947,Imara,Vadodara,18:59,22.2973142,73.1942567
leo,27-08-1969,Acchutan,Rajkot ,15:40,22.3053263,70.8028377
sagittarius,18-12-1946,Aayushi,Raiganj ,17:47,25.6271966,88.1317967
taurus,01-03-1949,Galav,Nubra Valley,9:22,33.9940885,77.8233593
virgo,01-09-1976,Kandarp,Hisar ,1:34,29.080640950000003,75.788754109493
capricorn,27-01-1985,Lusha,Surat,21:13,45.9383,3.2553
gemini,28-05-1944,Tarun,Rajahmundry ,5:32,17.0050454,81.7804732
libra,17-06-1975,Indrani,Kumbakonam ,2:26,10.9604108,79.3820861
aquarius,10-12-1948,Advith,S.A.S. Nagar ,22:58,17.480926850000003,78.5571143658342
cancer,11-07-1972,Harpreet,Ajmer,19:51,26.4691,74.639
scorpio,15-01-1954,Ghalib,Hosur ,15:33,12.7328844,77.8309478
pisces,19-05-1993,Iskand,Saharanpur ,14:32,29.9856799,77.50406459058038
aries,18-06-1966,Arihant,Kharagpur ,17:25,25.132982,86.52484857739515
leo,21-05-1951,Hiran,Wardha ,7:10,20.82562315,78.61314549522919
sagittarius,29-12-1970,Gnaneswar,Halisahar ,10:16,22.9322475,88.4248587
taurus,01-08-1963,Gurbachan,Nashik ,14:13,20.0112475,73.7902364
virgo,29-06-1945,Kismet,Kochi ,20:17,9.9674277,76.2454436
capricorn,19-03-1961,Amulya,Saidpur,21:55,25.58378845,83.2637704409629
gemini,28-01-1946,Armoghan,Tiruppur ,20:12,10.791526650000002,77.53254662905589
libra,10-08-1955,Gitanshu,Bhilai Nagar ,21:10,21.2011836,81.3352266
aquarius,05-03-1971,Sharmila,Cuddalore,20:9,11.52020705,79.33963564750636
cancer,31-07-1989,Jeevika,Mysore ,5:40,12.3051828,76.6553609
scorpio,11-01-1986,Sheetal,Allahabad ,11:36,25.4381302,81.8338005
pisces,02-07-1981,Jodha,Bellary ,4:36,15.1433952,76.9193876
aries,06-08-1942,Sandeep,Mathura,22:0,27.633333,77.583333
leo,26-06-1966,Dhruv,Khora ,8:9,22.33815655,77.71555036767253
sagittarius,19-08-1949,Natasha,Bakshpur,8:13,,
