Sign,DOB,Name_of_person,place_of_birth
gemini,18-09-1987,Kalpi,Thrissur 
libra,18-05-1943,Daiwik,North Dum Dum 
aquarius,09-09-1957,Karali,Jodhpur 
cancer,07-11-1950,Aakanksha,Dzükou Valley
scorpio,12-09-1949,Jalil,Osmanabad 
pisces,11-04-1977,Ajaipal,Raichur 
aries,13-09-1975,Shubham,Bhagalpur 
leo,28-03-2001,Himanshu,Tirunelveli 
sagittarius,29-06-1995,Garuda,Nalgonda 
taurus,09-08-1950,Aakesh,Dindigul 
virgo,25-06-1996,Hansika,Tiruchirappalli 
capricorn,22-06-1943,Jagvi,Kodaikanal
gemini,16-01-1987,Sunita,Ichalkaranji 
libra,02-02-1950,Kasniya,Berhampur
aquarius,15-05-1993,Gunbir,Ulhasnagar 
cancer,08-11-1964,Chinmay,Nangloi Jat 
scorpio,31-12-1945,Harsha,Kolar 
pisces,04-07-1960,Chandra,Lucknow
aries,14-04-1960,Antara,Ambala
leo,04-07-1976,Haniya,Hassan 
sagittarius,14-11-1994,Anchal,Almora
taurus,07-01-1973,Ananya,Warangal
virgo,05-05-1979,Husain,Vishakhapatnam
capricorn,22-07-1974,Deepshikha,Etah 
gemini,08-01-1966,Eshwaritha,Noida
libra,24-11-1981,Devika,Pune
aquarius,25-02-1984,Farah,Chilika
cancer,21-01-1979,Gathika,Tezpur
scorpio,30-03-1978,Divya,Siwan 
pisces,09-01-1942,Anirudh,New Delhi
aries,12-04-1967,Divyanshika,Pallavaram 
leo,17-05-1977,Goswami,Moga 
sagittarius,24-02-1987,Amrit,Dwarka
taurus,16-05-1958,Debyendu,Moradabad 
virgo,20-10-1949,Ishanvi,Varkala
capricorn,27-06-1998,Akshay,Amroha 
gemini,30-03-1987,Joy,Bidar
libra,11-08-1971,Devbrat,Itanagar
aquarius,26-09-1956,Dolly,Krishnanagar 
cancer,28-10-1946,Jayanti,Dewas 
scorpio,05-05-1972,Barkha,Haldwani-cum-Kathgodam 
pisces,23-03-1998,Inderveer,Jalandhar 
aries,11-10-1980,Devashish,Jaunpur 
leo,31-03-1960,Bhuvan,Chandigarh 
sagittarius,29-12-1953,Vinod,Greater Mumbai 
taurus,13-05-1975,Lipika,Hisar
virgo,09-08-1962,Siddharth,Ujjain
capricorn,01-08-1953,Seema,Sambalpur
gemini,06-08-1994,Namita,Mainpuri 
libra,30-01-1958,Loshith,Hospet 
aquarius,18-11-1941,Adweta,Raigarh 
cancer,16-12-1963,Kripa,Chittaurgarh 
scorpio,07-04-1992,Herik,Rajpur Sonarpur 
pisces,20-10-1977,Suraj,Barshi 
aries,07-02-1996,Kshitij,Bhubaneswar
leo,24-08-1971,Aishwarya,Konark
sagittarius,14-03-2001,Angad,Udgir 
taurus,20-04-1998,Swati,Serampore 
virgo,24-09-1979,Ayla,Kanpur City
capricorn,14-02-1999,Ajay,Nalgonda
gemini,03-04-1951,Keerat,Badlapur 
libra,10-04-1959,Ishpreet,Kollam
aquarius,08-10-1956,Ashish,Majuli
cancer,11-04-1995,Anitha,Srinagar
scorpio,07-09-1956,Kausar,Orai 
pisces,26-09-2000,Nalini,Gorakhpur 
aries,14-11-1943,Anya,Cooch Behar
leo,25-06-1947,Kaushiki,Tadepalligudem 
sagittarius,28-05-1976,Arti,Port Blair
taurus,16-06-1991,Purnima,Greater Hyderabad 
virgo,15-10-1982,Kulveer,Firozabad
capricorn,10-03-1950,Devirupa,Hapur
gemini,01-01-1964,Kalindi,Sonipat
libra,16-01-1948,Debanjana,Kanpur
aquarius,25-03-1957,Love,Guwahati
cancer,24-03-1961,Aditya,Deoghar
scorpio,10-04-2001,Chavvi,Alandur 
pisces,01-11-1989,Chandran,Bhilwara
aries,17-03-1947,Imara,Vadodara
leo,27-08-1969,Acchutan,Rajkot 
sagittarius,18-12-1946,Aayushi,Raiganj 
taurus,01-03-1949,Galav,Nubra Valley
virgo,01-09-1976,Kandarp,Hisar 
capricorn,27-01-1985,Lusha,Surat
gemini,28-05-1944,Tarun,Rajahmundry 
libra,17-06-1975,Indrani,Kumbakonam 
aquarius,10-12-1948,Advith,S.A.S. Nagar 
cancer,11-07-1972,Harpreet,Ajmer
scorpio,15-01-1954,Ghalib,Hosur 
pisces,19-05-1993,Iskand,Saharanpur 
aries,18-06-1966,Arihant,Kharagpur 
leo,21-05-1951,Hiran,Wardha 
sagittarius,29-12-1970,Gnaneswar,Halisahar 
taurus,01-08-1963,Gurbachan,Nashik 
virgo,29-06-1945,Kismet,Kochi 
capricorn,19-03-1961,Amulya,Saidpur
gemini,28-01-1946,Armoghan,Tiruppur 
libra,10-08-1955,Gitanshu,Bhilai Nagar 
aquarius,05-03-1971,Sharmila,Cuddalore
cancer,31-07-1989,Jeevika,Mysore 
scorpio,11-01-1986,Sheetal,Allahabad 
pisces,02-07-1981,Jodha,Bellary 
aries,06-08-1942,Sandeep,Mathura
leo,26-06-1966,Dhruv,Khora 
sagittarius,19-08-1949,Natasha,Bakshpur
taurus,29-08-1990,Deepanshu,Patna 
virgo,05-05-1989,Chandresh,Gondiya 
capricorn,08-09-1975,Karmendra,Kalol 
gemini,15-08-1956,Ganesh,Raichur
libra,05-06-1993,Deep,Ujjain 
aquarius,02-01-1989,Manisha,Roorkee 
cancer,06-09-1959,Kashish,Bamanpuri
scorpio,31-05-1995,Akshita,Mahbubnagar 
pisces,05-03-1976,Havya,Kanpur 
aries,16-07-1989,Apsara,Kavaratti
leo,15-03-1947,Iqra,Jagadhri 
sagittarius,11-02-1964,Aparsha,Tiruvannamalai
taurus,10-01-1966,Elavarasi,Rohtak 
virgo,24-07-1953,Abhinav,Lakhimpur 
capricorn,05-05-1994,Aishwarya,Panaji
gemini,02-09-1955,Aarti,Budaun
libra,07-01-1956,Adarsh,Hapur 
aquarius,20-07-1969,Kiranpreet,Hathras 
cancer,02-02-1949,Annanya,Gaya
scorpio,04-04-1971,Jigishu,Rajapalaiyam
pisces,20-09-1945,Harini,Saharanpur
aries,19-08-1977,Harbans,Allahabad
leo,17-06-1950,Gurbani,Sultan Pur Majra 
sagittarius,09-08-1980,Dheeraj,Munger 
taurus,20-06-1987,Prashant,Bally 
virgo,25-08-1955,Anika,Nagercoil
capricorn,25-03-1985,Madhav,Bharatpur 
gemini,07-11-1987,Elamathi,Hoshiarpur 
libra,06-08-1971,Arman,Valsad 
aquarius,13-07-2000,Debesh,Sehore 
cancer,14-09-1995,Gopal,Raurkela Town 
scorpio,31-12-1991,Kunal,Gwalior 
pisces,24-02-1942,Rajan,Sultanpur 
aries,30-03-1985,Eesha,Imphal 
leo,12-03-1958,Alka,Neyveli 
sagittarius,26-11-1975,Surendra,Dabgram 
taurus,12-10-1955,Charulata,Suryapet 
virgo,15-10-1974,Mala,Dimapur 
capricorn,12-09-1981,Aahana,Kinnaur
gemini,20-02-1958,Ishya,Bharauri
libra,14-03-1957,Aayansh,Kolhapur 
aquarius,08-03-1953,Lakshmika,Kanyakumari
cancer,27-08-1950,Harshita,Bijapur 
scorpio,19-09-1951,Anvit,Kumarakom
pisces,17-06-2001,Ekaja,Chandigarh 
aries,01-03-1948,Adhyantika,Srisailam
leo,16-10-1995,Anusha,Jalpaiguri 
sagittarius,01-01-1969,Kayalvizhi,Palanpur 
taurus,21-08-1962,Abhigya,Santipur 
virgo,05-04-1970,Amara,Sitapur 
capricorn,13-03-1965,Parul,Medinipur 
gemini,27-02-1959,Anjali,Kufri
libra,07-03-1993,Archi,Deesa 
aquarius,04-04-1987,Ravi,Bhagalpur
cancer,17-04-1952,Dipa,Morvi 
scorpio,04-08-1996,Kritagya,Dhaulpur 
pisces,21-11-1971,Pramila,Khargone 
aries,29-04-1953,Ganika,Aurangabad 
leo,11-07-1964,Chaitali,Coimbatore 
sagittarius,14-11-1985,Praveen,Proddatur 
taurus,10-03-1983,Archita,Gurugram
virgo,07-01-1966,Jahangeer,Shiliguri
capricorn,23-06-1973,Gajdant,Silchar
gemini,17-11-1991,Anupam,Shahjahanpur 
libra,13-04-1992,Darshan,Ahmedabad
aquarius,25-04-1993,Jasmine,Hyderabad
cancer,15-09-1960,Aviral,Hubli-Dharwad 
scorpio,16-07-1965,Hariharan,Ramagundam 
pisces,23-08-1962,Chak,Gudivada 

