instruction,input,output
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Dipika, I was born on 17-06-1993, and my place of birth is Khammam  at 20:42, and my zodiac sign is scorpio.","Venus in 2nd House so you should invest in gold and luxury goods, and since Moon is in 2nd House, you can also invest in media stocks."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Govind, I was born on 31-03-1950, and my place of birth is Sasaram  at 7:23, and my zodiac sign is pisces.","Jupiter retrograding, so you should not invest in IT and technology stocks."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Jasleen, I was born on 03-06-1949, and my place of birth is Bengaluru at 8:11, and my zodiac sign is aries.","Jupiter retrograding, so you should not invest in IT and technology stocks."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Amisha, I was born on 03-06-2001, and my place of birth is Karur at 15:0, and my zodiac sign is leo.","Moon in 11th House so you should invest in IT and technology stocks. Some stocks in this field are MapmyIndia, Coforge, Infosys, Affle (India) Limited, Newgen Software, HCLTech, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Inderpreet, I was born on 09-12-1973, and my place of birth is Haripur at 1:15, and my zodiac sign is sagittarius.","Ketu in 3rd House so you should invest in media and communication stocks. Some stocks in this field are Reliance Industries, Hathway, Route Mobile, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Bhakti, I was born on 12-04-1983, and my place of birth is Haldia  at 9:19, and my zodiac sign is taurus.","Ketu in 10th House so you should invest in spritual stocks. Some stocks in this field are Divine Dance, Blissful Balance, Sacred Space, Awakened Journeys, etc ."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Ilyas, I was born on 14-01-1966, and my place of birth is Uttarpara Kotrung  at 13:42, and my zodiac sign is virgo.","Venus in 8th House so you should invest in beauty stocks. Some stocks in this field are Tira, V-Mart Nykaa,  etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Hershit, I was born on 02-03-2001, and my place of birth is Nainital at 4:3, and my zodiac sign is capricorn.","Ketu in 7th House so you should invest in legal firms. Some stocks in this field are Thomson Reuters Corporation, Gateley (Holdings) PLC, RBG Holdings, Keystone Law Group, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Krishna, I was born on 20-06-1942, and my place of birth is Baharampur  at 14:12, and my zodiac sign is gemini.","Sun in 4th House so you should invest in real estate stocks. Some stocks in this field are Oberoi Realty, Phoenix Mills, DLF, Godrej Properties, Sunteck Realty, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Anshul, I was born on 07-08-1997, and my place of birth is Aligarh at 12:39, and my zodiac sign is libra.","Rahu in 9th House so you should invest in educational stocks. Some stocks in this field are Veranda Learning, CL Educate, Zee Learn, Global Education, MT Educare, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Adhyan, I was born on 07-12-1988, and my place of birth is Bagalkot  at 15:42, and my zodiac sign is aquarius.","Mars in 11th House so you should invest in IT and technology stocks. Some stocks in this field are MapmyIndia, Coforge, Infosys, Affle (India) Limited, Newgen Software, HCLTech, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Dhruvan, I was born on 07-05-1959, and my place of birth is Chilakaluripet  at 10:17, and my zodiac sign is cancer.","Mercury in 6th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Aravind, I was born on 01-03-1953, and my place of birth is Chitrakoot at 15:13, and my zodiac sign is scorpio.","Ketu in 9th House so you should invest in educational stocks. Some stocks in this field are Veranda Learning, CL Educate, Zee Learn, Global Education, MT Educare, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Kanisha, I was born on 06-08-1989, and my place of birth is Bengaluru at 14:46, and my zodiac sign is pisces.","Jupiter in 7th House so you should invest in legal firms. Some stocks in this field are Thomson Reuters Corporation, Gateley (Holdings) PLC, RBG Holdings, Keystone Law Group, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Kamran, I was born on 01-06-1981, and my place of birth is Bengaluru at 15:8, and my zodiac sign is aries.","Venus in 1st House so you should invest in gold and luxury goods, and since Moon is in 2nd House, you can also invest in media stocks."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Harshit, I was born on 03-12-1971, and my place of birth is Jalgaon  at 19:4, and my zodiac sign is leo.","Rahu in 11th House so you should invest in IT and technology stocks. Some stocks in this field are MapmyIndia, Coforge, Infosys, Affle (India) Limited, Newgen Software, HCLTech, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Vimla, I was born on 12-06-1988, and my place of birth is Tuticorin at 9:26, and my zodiac sign is sagittarius.","Saturn in 10th House so you should invest in startups and in government projects. Some stocks in this field are Stockal, Smallcase, Trade Brains, CapitalVia, Gill Broking, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Imaad, I was born on 19-03-1972, and my place of birth is Farrukhabad-cum-Fatehgarh  at 2:16, and my zodiac sign is taurus.","Ketu in 7th House so you should invest in legal firms. Some stocks in this field are Thomson Reuters Corporation, Gateley (Holdings) PLC, RBG Holdings, Keystone Law Group, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Jaipreet, I was born on 25-04-1958, and my place of birth is Bhiwadi  at 23:47, and my zodiac sign is virgo.","Saturn in 4th House so you should invest in real estate stocks. Some stocks in this field are Oberoi Realty, Phoenix Mills, DLF, Godrej Properties, Sunteck Realty, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Elisaiyan, I was born on 04-07-1944, and my place of birth is Parbhani  at 8:0, and my zodiac sign is capricorn.","Mars in 3rd House so you should invest in IT and technology stocks. Some stocks in this field are MapmyIndia, Coforge, Infosys, Affle (India) Limited, Newgen Software, HCLTech, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Shradha, I was born on 27-02-1982, and my place of birth is Khajuraho at 3:58, and my zodiac sign is gemini.","Sun in 2nd House so you should invest in gold and luxury goods, and since Moon is in 2nd House, you can also invest in media stocks."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Sridhar, I was born on 31-08-1950, and my place of birth is Khanapur at 14:31, and my zodiac sign is libra.","Rahu in 3rd House so you should invest in media and communication stocks. Some stocks in this field are Reliance Industries, Hathway, Route Mobile, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Liyana, I was born on 14-06-1959, and my place of birth is Gulbarga at 20:57, and my zodiac sign is aquarius.","Jupiter retrograding, so you should not invest in IT and technology stocks."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Avni, I was born on 13-11-1981, and my place of birth is Greater Noida  at 19:22, and my zodiac sign is cancer.","Jupiter in 7th House so you should invest in legal firms. Some stocks in this field are Thomson Reuters Corporation, Gateley (Holdings) PLC, RBG Holdings, Keystone Law Group, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Trisha, I was born on 03-04-1949, and my place of birth is Krishnapuram at 20:33, and my zodiac sign is scorpio.","Ketu in 5th House so you should invest in spritual stocks. Some stocks in this field are Divine Dance, Blissful Balance, Sacred Space, Awakened Journeys, etc ."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Anshika, I was born on 16-03-1961, and my place of birth is Mughalsarai  at 4:3, and my zodiac sign is pisces.","Saturn in 12th House so you should invest in foreign stocks. Some stocks in this field are NVIDIA, Microsoft, Apple, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Hansh, I was born on 08-03-1954, and my place of birth is Adoni  at 15:36, and my zodiac sign is aries.","Moon in 7th House so you should invest in Women centric companies stocks. Some stocks in this field are Ventas, Inc, Best Buy Co. Inc, Duke Energy Corporation, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Jignasa, I was born on 21-01-1976, and my place of birth is Karimnagar at 16:10, and my zodiac sign is leo.","Jupiter retrograding, so you should not invest in IT and technology stocks."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Devina, I was born on 08-08-1993, and my place of birth is Murudeshwar at 0:42, and my zodiac sign is sagittarius.","Sun in 8th House so you should invest in insurance stocks. Some stocks in this field are ICICI Prudential Life Insurance, HDFC Life Insurance, New India Assurance, Star Health and Allied Insurance, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Shweta, I was born on 21-02-1988, and my place of birth is Junagadh  at 13:38, and my zodiac sign is taurus.","Moon in 9th House so you should invest in educational stocks. Some stocks in this field are Veranda Learning, CL Educate, Zee Learn, Global Education, MT Educare, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Karmjit, I was born on 10-05-1944, and my place of birth is Vijayawada at 23:1, and my zodiac sign is virgo.","Ketu in 6th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Din, I was born on 26-12-1992, and my place of birth is Rajarhat Gopalpur  at 11:19, and my zodiac sign is capricorn.","Ketu in 1st House so you should invest in spritual stocks. Some stocks in this field are Divine Dance, Blissful Balance, Sacred Space, Awakened Journeys, etc ."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Ashal, I was born on 18-06-1971, and my place of birth is Thane  at 15:38, and my zodiac sign is gemini.","Sun in 10th House so you should invest in startups and in government projects. Some stocks in this field are Stockal, Smallcase, Trade Brains, CapitalVia, Gill Broking, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Bhoopendra, I was born on 04-10-1943, and my place of birth is Visakhapatnam at 2:50, and my zodiac sign is libra.","Saturn in 8th House so you should invest in insurance stocks. Some stocks in this field are ICICI Prudential Life Insurance, HDFC Life Insurance, New India Assurance, Star Health and Allied Insurance, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Jaithra, I was born on 30-03-1977, and my place of birth is Dhanbad  at 13:23, and my zodiac sign is aquarius.","Mercury in 1st House so you should invest in media and communication stocks. Some stocks in this field are Reliance Industries, Hathway, Route Mobile, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Sagar, I was born on 08-02-1972, and my place of birth is Ludhiana  at 5:44, and my zodiac sign is cancer.","Sun in 3rd House so you should invest in media and communication stocks. Some stocks in this field are Reliance Industries, Hathway, Route Mobile, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Geeta, I was born on 23-01-1960, and my place of birth is Wayanad at 16:42, and my zodiac sign is scorpio.","Mars in 4th House so you should invest in real estate stocks. Some stocks in this field are Oberoi Realty, Phoenix Mills, DLF, Godrej Properties, Sunteck Realty, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Lata, I was born on 27-12-1957, and my place of birth is Thiruvananthapuram at 6:24, and my zodiac sign is pisces.","Sun in 4th House so you should invest in real estate stocks. Some stocks in this field are Oberoi Realty, Phoenix Mills, DLF, Godrej Properties, Sunteck Realty, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Kunaal, I was born on 20-01-1952, and my place of birth is Katihar  at 5:15, and my zodiac sign is aries.","Rahu in 1st House so you should invest in startups and in government projects. Some stocks in this field are Stockal, Smallcase, Trade Brains, CapitalVia, Gill Broking, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Devarya, I was born on 25-02-1995, and my place of birth is Varanasi at 23:6, and my zodiac sign is leo.","Sun in 12th House so you should invest in foreign stocks. Some stocks in this field are NVIDIA, Microsoft, Apple, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Aadiv, I was born on 18-04-1997, and my place of birth is Bikaner  at 18:31, and my zodiac sign is sagittarius.","Jupiter in 6th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Livtar, I was born on 03-05-1967, and my place of birth is Bhiwandi at 8:13, and my zodiac sign is taurus.","Mars in 12th House so you should invest in foreign stocks. Some stocks in this field are NVIDIA, Microsoft, Apple, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Ayaan, I was born on 20-08-1974, and my place of birth is Agra at 2:45, and my zodiac sign is virgo.","Mars in 10th House so you should invest in IT and technology stocks. Some stocks in this field are MapmyIndia, Coforge, Infosys, Affle (India) Limited, Newgen Software, HCLTech, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Indali, I was born on 09-09-1984, and my place of birth is Amarkantak at 15:51, and my zodiac sign is capricorn.","Jupiter retrograding, so you should not invest in IT and technology stocks."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Anish, I was born on 19-02-1973, and my place of birth is Mysore at 13:54, and my zodiac sign is gemini.","Sun in 6th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Kairav, I was born on 12-06-1957, and my place of birth is Adilabad at 20:41, and my zodiac sign is libra.","Ketu in 3rd House so you should invest in media and communication stocks. Some stocks in this field are Reliance Industries, Hathway, Route Mobile, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Madhuri, I was born on 04-01-1996, and my place of birth is Spiti Valley at 20:52, and my zodiac sign is aquarius.","Ketu in 6th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Gunamalar, I was born on 02-08-1981, and my place of birth is Hospet at 22:48, and my zodiac sign is cancer.","Jupiter in 1st House so you should invest in legal firms. Some stocks in this field are Thomson Reuters Corporation, Gateley (Holdings) PLC, RBG Holdings, Keystone Law Group, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Karishma, I was born on 08-02-1994, and my place of birth is Latur at 11:35, and my zodiac sign is scorpio.","Mars in 12th House so you should invest in foreign stocks. Some stocks in this field are NVIDIA, Microsoft, Apple, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Atishay, I was born on 10-02-1968, and my place of birth is Ahmadabad  at 6:29, and my zodiac sign is pisces.","Saturn in 8th House so you should invest in insurance stocks. Some stocks in this field are ICICI Prudential Life Insurance, HDFC Life Insurance, New India Assurance, Star Health and Allied Insurance, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Simran, I was born on 09-06-1973, and my place of birth is South Dum Dum  at 2:27, and my zodiac sign is aries.","Mercury in 10th House so you should invest in government projects stocks. Some stocks in this field are Ircon International, Engineers India, NBCC (India) Limited, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Hetvi, I was born on 20-08-1988, and my place of birth is Kulti  at 13:45, and my zodiac sign is leo.","Sun in 8th House so you should invest in insurance stocks. Some stocks in this field are ICICI Prudential Life Insurance, HDFC Life Insurance, New India Assurance, Star Health and Allied Insurance, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Sunaina, I was born on 27-11-1946, and my place of birth is Bulandshahr  at 19:55, and my zodiac sign is sagittarius.","Ketu in 2nd House so you should invest in spritual stocks. Some stocks in this field are Divine Dance, Blissful Balance, Sacred Space, Awakened Journeys, etc ."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Abhik, I was born on 20-09-1979, and my place of birth is Gangawati  at 0:46, and my zodiac sign is taurus.","Moon in 6th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Aasim, I was born on 03-03-1988, and my place of birth is Kolkata at 10:40, and my zodiac sign is virgo.","Jupiter retrograding, so you should not invest in IT and technology stocks."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Indranil, I was born on 28-05-1979, and my place of birth is Aurangabad at 8:8, and my zodiac sign is capricorn.","Saturn in 10th House so you should invest in startups and in government projects. Some stocks in this field are Stockal, Smallcase, Trade Brains, CapitalVia, Gill Broking, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Ehtisham, I was born on 22-12-1941, and my place of birth is Chirala at 0:17, and my zodiac sign is gemini.","Rahu in 9th House so you should invest in educational stocks. Some stocks in this field are Veranda Learning, CL Educate, Zee Learn, Global Education, MT Educare, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Amrin, I was born on 20-07-1994, and my place of birth is Banswara  at 19:56, and my zodiac sign is libra.","Moon in 7th House so you should invest in Women centric companies stocks. Some stocks in this field are Ventas, Inc, Best Buy Co. Inc, Duke Energy Corporation, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Divyansh, I was born on 06-03-1994, and my place of birth is Ludhiana at 22:37, and my zodiac sign is aquarius.","Venus in 3rd House so you should invest in beauty stocks. Some stocks in this field are Tira, V-Mart Nykaa,  etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Ankit, I was born on 03-09-1961, and my place of birth is Palwal  at 13:18, and my zodiac sign is cancer.","Moon in 6th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Abinash, I was born on 18-11-1990, and my place of birth is Rishikesh at 7:23, and my zodiac sign is scorpio.","Mercury in 3rd House so you should invest in media and communication stocks. Some stocks in this field are Reliance Industries, Hathway, Route Mobile, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Davneet, I was born on 04-10-1987, and my place of birth is Cherrapunji at 15:28, and my zodiac sign is pisces.","Mars in 8th House so you should invest in insurance stocks. Some stocks in this field are ICICI Prudential Life Insurance, HDFC Life Insurance, New India Assurance, Star Health and Allied Insurance, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Ekanjeet, I was born on 20-08-1999, and my place of birth is Muktsar  at 3:45, and my zodiac sign is aries.","Rahu in 1st House so you should invest in startups and in government projects. Some stocks in this field are Stockal, Smallcase, Trade Brains, CapitalVia, Gill Broking, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Khanak, I was born on 14-01-1944, and my place of birth is English Bazar  at 6:59, and my zodiac sign is leo.","Mercury in 12th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Anmol, I was born on 10-02-1975, and my place of birth is Tadpatri  at 20:52, and my zodiac sign is sagittarius.","Venus in 10th House so you should invest in beauty stocks. Some stocks in this field are Tira, V-Mart Nykaa,  etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Kanika, I was born on 06-11-1980, and my place of birth is Amritsar  at 3:48, and my zodiac sign is taurus.","Ketu in 3rd House so you should invest in media and communication stocks. Some stocks in this field are Reliance Industries, Hathway, Route Mobile, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Aagney, I was born on 04-07-1954, and my place of birth is Patiala  at 14:42, and my zodiac sign is virgo.","Jupiter in 2nd House so you should invest in Banking, Finance stocks. Some stocks in this field are ICICI Bank, Kotak Mahindra Bank, HDFC Bank, Axis Bank, etc ."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Hashir, I was born on 25-08-1943, and my place of birth is Bikaner at 16:36, and my zodiac sign is capricorn.","Moon in 3rd House so you should invest in media and communication stocks. Some stocks in this field are Reliance Industries, Hathway, Route Mobile, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Hammaad, I was born on 17-03-1984, and my place of birth is Chamba at 10:6, and my zodiac sign is gemini.","Jupiter retrograding, so you should not invest in IT and technology stocks."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Jaimini, I was born on 03-12-1948, and my place of birth is Bhuj at 21:53, and my zodiac sign is libra.","Mercury in 12th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Chetan, I was born on 19-09-1972, and my place of birth is Muzaffarnagar at 21:28, and my zodiac sign is aquarius.","Jupiter in 1st House so you should invest in legal firms. Some stocks in this field are Thomson Reuters Corporation, Gateley (Holdings) PLC, RBG Holdings, Keystone Law Group, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Aniya, I was born on 06-11-2000, and my place of birth is Bijapur at 16:22, and my zodiac sign is cancer.","Sun in 5th House so you should invest in entertainment stocks. Some stocks in this field are PVR INOX, Shemaroo Entertainment, Tips Industries, Network18, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Fatma, I was born on 10-01-1951, and my place of birth is Silvassa at 19:51, and my zodiac sign is scorpio.","Sun in 5th House so you should invest in entertainment stocks. Some stocks in this field are PVR INOX, Shemaroo Entertainment, Tips Industries, Network18, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Haleema, I was born on 03-03-2001, and my place of birth is Bhavnagar at 3:3, and my zodiac sign is pisces.","Jupiter in 7th House so you should invest in legal firms. Some stocks in this field are Thomson Reuters Corporation, Gateley (Holdings) PLC, RBG Holdings, Keystone Law Group, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Krish, I was born on 04-09-1993, and my place of birth is Hajipur  at 11:33, and my zodiac sign is aries.","Mercury in 7th House so you should invest in legal firms. Some stocks in this field are Thomson Reuters Corporation, Gateley (Holdings) PLC, RBG Holdings, Keystone Law Group, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Haarathi, I was born on 08-06-1958, and my place of birth is Fatehpur Sikri at 15:1, and my zodiac sign is leo.","Ketu in 4th House so you should invest in real estate stocks. Some stocks in this field are Oberoi Realty, Phoenix Mills, DLF, Godrej Properties, Sunteck Realty, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Aadrik, I was born on 12-03-1977, and my place of birth is Hyderabad at 19:13, and my zodiac sign is sagittarius.","Saturn in 4th House so you should invest in real estate stocks. Some stocks in this field are Oberoi Realty, Phoenix Mills, DLF, Godrej Properties, Sunteck Realty, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Kamini, I was born on 02-05-2000, and my place of birth is Kota at 18:0, and my zodiac sign is taurus.","Venus in 12th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Kalyani, I was born on 01-08-1989, and my place of birth is Munnar at 23:44, and my zodiac sign is virgo.","Saturn in 5th House so you should invest in educational stocks. Some stocks in this field are Veranda Learning, CL Educate, Zee Learn, Global Education, MT Educare, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Kalaiarasi, I was born on 04-01-1943, and my place of birth is Nashik at 15:18, and my zodiac sign is capricorn.","Rahu in 6th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Agampreet, I was born on 27-05-1971, and my place of birth is Agartala  at 1:43, and my zodiac sign is gemini.","Jupiter in 10th House so you should invest in startups and in government projects. Some stocks in this field are Stockal, Smallcase, Trade Brains, CapitalVia, Gill Broking, etc."
