Sign,DOB,Name_of_person,place_of_birth,time_of_birth
sagittarius,13-05-1945,Hiral,Badami,8:5
taurus,28-11-1975,Jivika,Nanded,20:39
virgo,15-02-1986,Dulal,Puri,0:34
capricorn,19-03-1998,Vijay,Baran ,11:31
gemini,24-01-1952,Faraz,Faizabad ,12:26
libra,07-10-1949,Hitesh,Chanda,17:0
aquarius,28-12-1961,Chaitanya,Puducherry,1:58
cancer,28-05-1994,Adhrit,Yavatmal ,17:48
scorpio,09-07-2001,Abhaya,Nandyal ,7:50
pisces,06-07-1957,Aditi,Panipat ,22:57
aries,09-05-1966,Aarav,Chennai,3:36
leo,11-11-1946,Devi,Ambala ,9:42
sagittarius,07-08-1969,Libni,Mango ,13:21
taurus,04-05-2001,Sanjay,Jabalpur,1:27
virgo,31-01-1977,Chameli,Mirzapur,20:49
capricorn,04-03-1946,Anita,Thoothukkudi ,0:3
gemini,09-09-1997,Gunasundari,Cuttack,8:37
libra,06-11-1975,Arnab,Leh,20:22
aquarius,21-10-1984,Ayushman,Mahesana ,0:1
cancer,23-08-1966,Ijaya,Bijapur,19:58
scorpio,11-09-1990,Chandranshu,Nellore,6:13
pisces,09-10-1991,Tanuja,Secunderabad ,21:53
aries,06-08-1972,Anil,Jalpaiguri,7:21
leo,07-01-1944,Abhaysinha,Baleshwar Town ,20:8
sagittarius,10-03-1979,Aruna,Sirsa,18:22
taurus,13-03-1980,Jeevan,Nagaon ,9:12
virgo,10-05-1993,Hemani,Kochi,21:59
capricorn,25-07-1943,Avani,Sawai Madhopur,13:37
gemini,02-03-1952,Jalender,Nadiad ,19:32
libra,03-09-1965,Sandhya,Navsari ,17:7
aquarius,23-05-1959,Krithika,Morena ,14:36
cancer,24-01-1946,Laiba,Tiruchchirappalli,17:31
scorpio,05-12-1996,Atul,Champdani ,22:18
pisces,01-09-1942,Chitra,Deoli ,4:10
aries,11-08-1970,Bhaskor,Kovalam,12:4
leo,06-02-1948,Arti,Guntur,9:30
sagittarius,20-01-1996,Harpal,Bhilai,9:25
taurus,18-09-1962,Aria,Naihati ,21:54
virgo,28-09-1970,Lubna,Veraval ,12:44
capricorn,30-12-1946,Chayan,Nagapattinam ,10:17
gemini,09-02-1992,Bhawana,Pali ,10:57
libra,22-09-1998,Arnav,Balasore,2:35
aquarius,20-03-1999,Anjoo,Guntur,0:4
cancer,10-11-1982,Kalindee,Churu ,6:17
scorpio,23-01-2000,Jigar,Udaipur,21:46
pisces,13-11-1964,Bhama,Udhampur,12:46
aries,15-10-1960,Bhavana,Kolar,12:2
leo,19-07-1989,Guru,Bikaner,11:55
sagittarius,17-04-1995,Ashay,Gokal Pur ,11:15
taurus,10-06-1963,Reena,Thanjavur ,3:13
virgo,22-10-2000,Vineet,Agartala,8:33
capricorn,30-03-1995,Achyut,Allahabad,5:21
gemini,08-06-1998,Ardhendu,Karimnagar ,3:47
libra,21-12-1981,Bishakha,Pelling,16:47
aquarius,23-06-1978,Dhariyithri,Imphal,13:33
cancer,11-08-1968,Rajani,Kishangarh ,23:53
scorpio,31-12-1969,Kamal,Jalna ,1:27
pisces,25-05-1999,Inika,Jhunjhunun ,16:38
aries,11-07-1961,Deepika,Hardoi ,23:54
leo,07-11-1977,Roopa,Jamuria ,17:35
sagittarius,04-12-1949,Brinda,Bhubaneswar Town ,17:14
taurus,11-10-1948,Hiba,Unnao ,1:49
virgo,21-01-1946,Arup,Chikmagalur,23:53
capricorn,16-11-1943,Haaris,Sonipat ,4:10
gemini,29-02-1976,Datarpreet,Madurai,9:21
libra,07-03-1957,Charu,Mira Bhayander ,20:3
aquarius,06-06-1965,Azha,Rajahmundry,0:28
cancer,24-10-1986,Rajat,Jaipur,21:21
scorpio,27-10-1959,Meera,Bhimavaram ,22:40
pisces,19-07-1951,Dinesh,Mangalore,6:52
aries,02-08-1999,Diksha,Tirupati ,20:28
leo,17-12-1975,Jahan,Tumkur ,15:32
sagittarius,05-06-1943,Kajol,Bhiwani ,14:53
taurus,28-10-1993,Arun,Hardwar ,9:30
virgo,16-10-1960,Kaberi,Baranagar ,15:58
capricorn,25-11-1966,Anshu,Ghandinagar,22:26
gemini,16-03-1984,Pooja,Ghazipur ,2:21
libra,16-12-1967,Sunil,Alwar,8:9
aquarius,19-12-1978,Aakshi,Amritsar,17:51
cancer,11-11-1984,Heena,Madavaram ,22:46
scorpio,30-09-1989,Ayan,Akola ,13:13
pisces,28-01-1991,Abhay,Srinagar ,20:44
aries,02-04-1957,Hemant,Patna,10:56
leo,20-03-1961,Baghyawati,Asansol,23:7
sagittarius,04-09-1973,Latifah,Bekal,22:18
taurus,07-12-1995,Henish,Thiruvananthapuram ,13:47
virgo,17-07-1967,Indu,Raipur,0:34
capricorn,17-11-1941,GangaRam,Baidyabati ,0:55
gemini,18-09-1987,Kalpi,Thrissur ,8:44
libra,18-05-1943,Daiwik,North Dum Dum ,23:40
aquarius,09-09-1957,Karali,Jodhpur ,12:6
cancer,07-11-1950,Aakanksha,Dzükou Valley,4:23
scorpio,12-09-1949,Jalil,Osmanabad ,8:11
pisces,11-04-1977,Ajaipal,Raichur ,21:5
aries,13-09-1975,Shubham,Bhagalpur ,1:47
leo,28-03-2001,Himanshu,Tirunelveli ,14:43
sagittarius,29-06-1995,Garuda,Nalgonda ,23:48
taurus,09-08-1950,Aakesh,Dindigul ,6:34
virgo,25-06-1996,Hansika,Tiruchirappalli ,8:6
capricorn,22-06-1943,Jagvi,Kodaikanal,10:21
gemini,16-01-1987,Sunita,Ichalkaranji ,12:44
libra,02-02-1950,Kasniya,Berhampur,2:48
aquarius,15-05-1993,Gunbir,Ulhasnagar ,18:56
cancer,08-11-1964,Chinmay,Nangloi Jat ,9:34
scorpio,31-12-1945,Harsha,Kolar ,9:41
pisces,04-07-1960,Chandra,Lucknow,14:46
aries,14-04-1960,Antara,Ambala,15:44
leo,04-07-1976,Haniya,Hassan ,20:8
sagittarius,14-11-1994,Anchal,Almora,2:4
taurus,07-01-1973,Ananya,Warangal,2:15
virgo,05-05-1979,Husain,Vishakhapatnam,20:26
capricorn,22-07-1974,Deepshikha,Etah ,9:9
gemini,08-01-1966,Eshwaritha,Noida,11:58
libra,24-11-1981,Devika,Pune,13:58
aquarius,25-02-1984,Farah,Chilika,22:5
cancer,21-01-1979,Gathika,Tezpur,13:29
scorpio,30-03-1978,Divya,Siwan ,21:35
pisces,09-01-1942,Anirudh,New Delhi,8:55
aries,12-04-1967,Divyanshika,Pallavaram ,21:55
leo,17-05-1977,Goswami,Moga ,18:16
sagittarius,24-02-1987,Amrit,Dwarka,19:57
taurus,16-05-1958,Debyendu,Moradabad ,1:22
virgo,20-10-1949,Ishanvi,Varkala,22:35
capricorn,27-06-1998,Akshay,Amroha ,21:56
gemini,30-03-1987,Joy,Bidar,18:2
libra,11-08-1971,Devbrat,Itanagar,7:43
aquarius,26-09-1956,Dolly,Krishnanagar ,7:13
cancer,28-10-1946,Jayanti,Dewas ,16:40
scorpio,05-05-1972,Barkha,Haldwani-cum-Kathgodam ,21:14
pisces,23-03-1998,Inderveer,Jalandhar ,1:15
aries,11-10-1980,Devashish,Jaunpur ,8:33
leo,31-03-1960,Bhuvan,Chandigarh ,20:36
sagittarius,29-12-1953,Vinod,Greater Mumbai ,11:36
taurus,13-05-1975,Lipika,Hisar,19:39
virgo,09-08-1962,Siddharth,Ujjain,10:49
capricorn,01-08-1953,Seema,Sambalpur,6:3
gemini,06-08-1994,Namita,Mainpuri ,12:58
libra,30-01-1958,Loshith,Hospet ,17:53
aquarius,18-11-1941,Adweta,Raigarh ,11:29
cancer,16-12-1963,Kripa,Chittaurgarh ,2:24
scorpio,07-04-1992,Herik,Rajpur Sonarpur ,9:28
pisces,20-10-1977,Suraj,Barshi ,3:17
aries,07-02-1996,Kshitij,Bhubaneswar,6:40
leo,24-08-1971,Aishwarya,Konark,17:48
sagittarius,14-03-2001,Angad,Udgir ,8:18
taurus,20-04-1998,Swati,Serampore ,0:40
virgo,24-09-1979,Ayla,Kanpur City,19:0
capricorn,14-02-1999,Ajay,Nalgonda,8:41
gemini,03-04-1951,Keerat,Badlapur ,4:12
libra,10-04-1959,Ishpreet,Kollam,15:43
aquarius,08-10-1956,Ashish,Majuli,4:2
cancer,11-04-1995,Anitha,Srinagar,5:27
scorpio,07-09-1956,Kausar,Orai ,6:14
pisces,26-09-2000,Nalini,Gorakhpur ,17:59
aries,14-11-1943,Anya,Cooch Behar,4:26
leo,25-06-1947,Kaushiki,Tadepalligudem ,9:59
sagittarius,28-05-1976,Arti,Port Blair,20:53
taurus,16-06-1991,Purnima,Greater Hyderabad ,6:3
virgo,15-10-1982,Kulveer,Firozabad,4:57
capricorn,10-03-1950,Devirupa,Hapur,2:13
gemini,01-01-1964,Kalindi,Sonipat,22:0
libra,16-01-1948,Debanjana,Kanpur,22:12
aquarius,25-03-1957,Love,Guwahati,8:40
cancer,24-03-1961,Aditya,Deoghar,13:13
scorpio,10-04-2001,Chavvi,Alandur ,19:7
pisces,01-11-1989,Chandran,Bhilwara,12:19
aries,17-03-1947,Imara,Vadodara,18:59
leo,27-08-1969,Acchutan,Rajkot ,15:40
sagittarius,18-12-1946,Aayushi,Raiganj ,17:47
taurus,01-03-1949,Galav,Nubra Valley,9:22
virgo,01-09-1976,Kandarp,Hisar ,1:34
capricorn,27-01-1985,Lusha,Surat,21:13
gemini,28-05-1944,Tarun,Rajahmundry ,5:32
libra,17-06-1975,Indrani,Kumbakonam ,2:26
aquarius,10-12-1948,Advith,S.A.S. Nagar ,22:58
cancer,11-07-1972,Harpreet,Ajmer,19:51
scorpio,15-01-1954,Ghalib,Hosur ,15:33
pisces,19-05-1993,Iskand,Saharanpur ,14:32
aries,18-06-1966,Arihant,Kharagpur ,17:25
leo,21-05-1951,Hiran,Wardha ,7:10
sagittarius,29-12-1970,Gnaneswar,Halisahar ,10:16
taurus,01-08-1963,Gurbachan,Nashik ,14:13
virgo,29-06-1945,Kismet,Kochi ,20:17
capricorn,19-03-1961,Amulya,Saidpur,21:55
gemini,28-01-1946,Armoghan,Tiruppur ,20:12
libra,10-08-1955,Gitanshu,Bhilai Nagar ,21:10
aquarius,05-03-1971,Sharmila,Cuddalore,20:9
cancer,31-07-1989,Jeevika,Mysore ,5:40
scorpio,11-01-1986,Sheetal,Allahabad ,11:36
pisces,02-07-1981,Jodha,Bellary ,4:36
aries,06-08-1942,Sandeep,Mathura,22:0
leo,26-06-1966,Dhruv,Khora ,8:9
sagittarius,19-08-1949,Natasha,Bakshpur,8:13
taurus,29-08-1990,Deepanshu,Patna ,10:9
virgo,05-05-1989,Chandresh,Gondiya ,9:55
capricorn,08-09-1975,Karmendra,Kalol ,4:46
gemini,15-08-1956,Ganesh,Raichur,5:18
libra,05-06-1993,Deep,Ujjain ,19:30
aquarius,02-01-1989,Manisha,Roorkee ,14:21
cancer,06-09-1959,Kashish,Bamanpuri,4:36
scorpio,31-05-1995,Akshita,Mahbubnagar ,4:27
pisces,05-03-1976,Havya,Kanpur ,21:41
aries,16-07-1989,Apsara,Kavaratti,14:43
leo,15-03-1947,Iqra,Jagadhri ,0:48
sagittarius,11-02-1964,Aparsha,Tiruvannamalai,14:26
taurus,10-01-1966,Elavarasi,Rohtak ,9:41
virgo,24-07-1953,Abhinav,Lakhimpur ,15:50
capricorn,05-05-1994,Aishwarya,Panaji,6:1
gemini,02-09-1955,Aarti,Budaun,3:1
libra,07-01-1956,Adarsh,Hapur ,23:2
aquarius,20-07-1969,Kiranpreet,Hathras ,5:37
cancer,02-02-1949,Annanya,Gaya,9:31
scorpio,04-04-1971,Jigishu,Rajapalaiyam,14:15
pisces,20-09-1945,Harini,Saharanpur,3:33
aries,19-08-1977,Harbans,Allahabad,9:30
leo,17-06-1950,Gurbani,Sultan Pur Majra ,1:49
sagittarius,09-08-1980,Dheeraj,Munger ,6:58
taurus,20-06-1987,Prashant,Bally ,3:8
virgo,25-08-1955,Anika,Nagercoil,10:36
capricorn,25-03-1985,Madhav,Bharatpur ,18:6
gemini,07-11-1987,Elamathi,Hoshiarpur ,15:32
libra,06-08-1971,Arman,Valsad ,9:1
aquarius,13-07-2000,Debesh,Sehore ,17:52
cancer,14-09-1995,Gopal,Raurkela Town ,5:32
scorpio,31-12-1991,Kunal,Gwalior ,0:5
pisces,24-02-1942,Rajan,Sultanpur ,7:40
aries,30-03-1985,Eesha,Imphal ,2:21
leo,12-03-1958,Alka,Neyveli ,15:4
sagittarius,26-11-1975,Surendra,Dabgram ,11:20
taurus,12-10-1955,Charulata,Suryapet ,4:22
virgo,15-10-1974,Mala,Dimapur ,14:27
capricorn,12-09-1981,Aahana,Kinnaur,6:34
gemini,20-02-1958,Ishya,Bharauri,2:53
libra,14-03-1957,Aayansh,Kolhapur ,2:59
aquarius,08-03-1953,Lakshmika,Kanyakumari,21:50
cancer,27-08-1950,Harshita,Bijapur ,23:44
scorpio,19-09-1951,Anvit,Kumarakom,2:6
pisces,17-06-2001,Ekaja,Chandigarh ,12:48
aries,01-03-1948,Adhyantika,Srisailam,18:1
leo,16-10-1995,Anusha,Jalpaiguri ,14:37
sagittarius,01-01-1969,Kayalvizhi,Palanpur ,10:14
taurus,21-08-1962,Abhigya,Santipur ,22:46
virgo,05-04-1970,Amara,Sitapur ,16:32
capricorn,13-03-1965,Parul,Medinipur ,8:42
gemini,27-02-1959,Anjali,Kufri,19:28
libra,07-03-1993,Archi,Deesa ,18:44
aquarius,04-04-1987,Ravi,Bhagalpur,16:25
cancer,17-04-1952,Dipa,Morvi ,9:38
scorpio,04-08-1996,Kritagya,Dhaulpur ,11:7
pisces,21-11-1971,Pramila,Khargone ,12:16
aries,29-04-1953,Ganika,Aurangabad ,6:10
leo,11-07-1964,Chaitali,Coimbatore ,13:37
sagittarius,14-11-1985,Praveen,Proddatur ,17:55
taurus,10-03-1983,Archita,Gurugram,15:36
virgo,07-01-1966,Jahangeer,Shiliguri,2:35
capricorn,23-06-1973,Gajdant,Silchar,12:38
gemini,17-11-1991,Anupam,Shahjahanpur ,18:0
libra,13-04-1992,Darshan,Ahmedabad,4:21
aquarius,25-04-1993,Jasmine,Hyderabad,15:32
cancer,15-09-1960,Aviral,Hubli-Dharwad ,4:15
scorpio,16-07-1965,Hariharan,Ramagundam ,5:13
pisces,23-08-1962,Chak,Gudivada ,8:39
